id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux,mag
4510,9133.5965,1673.7154,0.34861289,-0.069968872,-0.56329886,25,0,18,1.9121368,-0.7037974
4511,717.35517,1675.2709,0.48204887,0.16593686,0.7685507,25,0,21,3.1742418,-1.2541
4512,779.28317,1673.4528,0.63987546,0.37815934,0.74700632,25,0,7,1.1364635,-0.13888875
4513,1189.3424,1674.8,0.42202278,-0.56667304,0.52473944,25,0,18,2.7282703,-1.0897185
4514,1526.825,1674.8598,0.37575528,-0.28444174,0.55255777,25,0,92,12.780972,-2.7664097
4515,4737.1683,1674.6122,0.53188534,-0.4219664,0.073797276,25,0,18,3.2755899,-1.2882238
4516,5368.8456,1674.9341,0.54644477,-0.41517097,-0.27351021,25,0,5,1.0258058,-0.027662908
4517,8831.6686,1675.1317,0.40801488,0.67797804,0.45286058,25,0,18,2.673414,-1.0676655
4518,9129.8644,1674.3999,0.42283431,0.2898221,0.41753796,25,0,37,4.1920395,-1.5560634
4519,3376.6292,1675.4694,0.42779162,0.49514651,0.014285585,25,0,10,1.77071,-0.62036859
4520,7613.3304,1675.8258,0.47603463,-0.055362727,-0.0052918598,25,0,20,3.0552194,-1.212606
4521,8177.9349,1676.135,0.56949611,0.4340882,0.29809019,25,0,11,1.7823532,-0.6274844
4522,2139.2539,1676.0624,0.45616748,-0.31254849,0.29613116,25,0,8,1.1956055,-0.19396978
4523,2350.5308,1677.496,0.45087365,-0.073568605,0.35265263,25,0,10,1.6800603,-0.56331215
4524,3122.631,1676.7355,0.37252339,0.44289747,0.22022626,25,0,5,1.2200494,-0.21594352
4525,3576.5461,1677.3695,0.47513593,0.17890795,0.0270246,25,0,19,3.4755085,-1.3525459
4526,4283.0943,1677.3762,0.38260822,0.83516091,0.045909742,25,0,6,1.1878912,-0.1869417
4527,4410.1476,1677.1384,0.56961717,-0.085313812,0.026018558,25,0,29,5.2395363,-1.7982321
4528,4889.3428,1676.8995,0.40079312,-0.50646996,0.058558816,25,0,7,1.3229929,-0.3038938
4529,5000.0423,1676.6057,0.51218588,0.19520743,0.086535498,25,0,20,3.7269423,-1.4283817
4530,5267.6186,1677.4356,0.50606278,-0.2449788,0.030821741,25,0,27,4.9395714,-1.7342232
4531,6626.7673,1677.1006,0.46372965,0.1336076,-0.17944629,25,0,19,3.5283253,-1.3689216
4532,7838.4819,1677.8426,0.38825182,0.2365122,0.1923093,25,0,16,2.4192898,-0.95921975
4533,9033.4485,1678.2505,0.44957175,0.82430297,0.50376296,25,0,14,2.2241018,-0.86788665
4534,4718.0833,1678.9018,0.58677469,-0.1117963,0.24612568,25,0,7,1.1618521,-0.16287714
